Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng05
Info,TimeStamp,Tue May 3 14:54:54 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,LIMIT_VERIFY
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,mtarvina
Info,FabID,
Info,Flow,CHAR_ROOM
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1612134,653.555,mV,666.758,mV,VoutLevels.338
1612135,655.488,mV,668.730,mV,VoutLevels.339
1612136,657.422,mV,670.703,mV,VoutLevels.340
1612137,659.355,mV,672.676,mV,VoutLevels.341
1612138,661.289,mV,674.648,mV,VoutLevels.342
1612139,663.223,mV,676.621,mV,VoutLevels.343
1612140,665.156,mV,678.594,mV,VoutLevels.344
1612141,667.090,mV,680.566,mV,VoutLevels.345
1612142,669.023,mV,682.539,mV,VoutLevels.346
1612143,670.957,mV,684.512,mV,VoutLevels.347
1612144,672.891,mV,686.484,mV,VoutLevels.348
1612145,674.824,mV,688.457,mV,VoutLevels.349
1612146,676.758,mV,690.430,mV,VoutLevels.350
1612147,678.691,mV,692.402,mV,VoutLevels.351
1612148,680.625,mV,694.375,mV,VoutLevels.352
1612149,682.559,mV,696.348,mV,VoutLevels.353
1612150,684.492,mV,698.320,mV,VoutLevels.354
1612151,686.426,mV,700.293,mV,VoutLevels.355
1612152,688.359,mV,702.266,mV,VoutLevels.356
1612153,690.293,mV,704.238,mV,VoutLevels.357
1612154,692.227,mV,706.211,mV,VoutLevels.358
1612155,694.160,mV,708.184,mV,VoutLevels.359
1612156,696.094,mV,710.156,mV,VoutLevels.360
1612157,698.027,mV,712.129,mV,VoutLevels.361
1612158,699.961,mV,714.102,mV,VoutLevels.362
1612159,701.895,mV,716.074,mV,VoutLevels.363
1612160,703.828,mV,718.047,mV,VoutLevels.364
1612161,705.762,mV,720.020,mV,VoutLevels.365
1612162,707.695,mV,721.992,mV,VoutLevels.366
1612163,709.629,mV,723.965,mV,VoutLevels.367
1612164,711.563,mV,725.937,mV,VoutLevels.368
1612165,713.496,mV,727.910,mV,VoutLevels.369
1612166,715.430,mV,729.883,mV,VoutLevels.370
1612167,717.363,mV,731.855,mV,VoutLevels.371
1612168,719.297,mV,733.828,mV,VoutLevels.372
1612169,721.230,mV,735.801,mV,VoutLevels.373
1612170,723.164,mV,737.773,mV,VoutLevels.374
1612171,725.098,mV,739.746,mV,VoutLevels.375
1612172,727.031,mV,741.719,mV,VoutLevels.376
1612173,728.965,mV,743.691,mV,VoutLevels.377
