Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng01
Info,TimeStamp,Mon Feb 21 18:57:37 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,skipall
Info,FabID,
Info,Flow,CHAR_ROOM_QFN
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1612178,738.633,mV,753.555,mV,VoutLevels.382
1612179,740.566,mV,755.527,mV,VoutLevels.383
1612180,742.500,mV,757.500,mV,VoutLevels.384
1612181,744.434,mV,759.473,mV,VoutLevels.385
1612182,746.367,mV,761.445,mV,VoutLevels.386
1612183,748.301,mV,763.418,mV,VoutLevels.387
1612184,750.234,mV,765.391,mV,VoutLevels.388
1612185,752.168,mV,767.363,mV,VoutLevels.389
1612186,754.102,mV,769.336,mV,VoutLevels.390
1612187,756.035,mV,771.309,mV,VoutLevels.391
1612188,757.969,mV,773.281,mV,VoutLevels.392
1612189,759.902,mV,775.254,mV,VoutLevels.393
1612190,761.836,mV,777.227,mV,VoutLevels.394
1612191,763.770,mV,779.199,mV,VoutLevels.395
1612192,765.703,mV,781.172,mV,VoutLevels.396
1612193,767.637,mV,783.145,mV,VoutLevels.397
1612194,769.570,mV,785.117,mV,VoutLevels.398
1612195,771.504,mV,787.090,mV,VoutLevels.399
1612196,773.438,mV,789.062,mV,VoutLevels.400
1612197,775.371,mV,791.035,mV,VoutLevels.401
1612198,777.305,mV,793.008,mV,VoutLevels.402
1612199,779.238,mV,794.980,mV,VoutLevels.403
1612200,781.172,mV,796.953,mV,VoutLevels.404
1612201,783.105,mV,798.926,mV,VoutLevels.405
1612202,785.039,mV,800.898,mV,VoutLevels.406
1612203,786.973,mV,802.871,mV,VoutLevels.407
1612204,788.906,mV,804.844,mV,VoutLevels.408
1612205,790.840,mV,806.816,mV,VoutLevels.409
1612206,792.773,mV,808.789,mV,VoutLevels.410
1611001,398.790,mV,401.990,mV,VoutLevels_Prod.0xCD
1611002,447.420,mV,451.020,mV,VoutLevels_Prod.0xE6
1611003,498,mV,502,mV,VoutLevels_Prod.0x100
1611004,548.580,mV,552.980,mV,VoutLevels_Prod.0x11A
1611005,597.210,mV,602.010,mV,VoutLevels_Prod.0x133
1611006,599.160,mV,607,mV,VoutLevels_Prod.0x134
1611007,647.790,mV,657,mV,VoutLevels_Prod.0x14D
1611008,696.420,mV,705,mV,VoutLevels_Prod.0x166
1611009,747,mV,755,mV,VoutLevels_Prod.0x180
1611010,795.630,mV,805,mV,VoutLevels_Prod.0x199
1607020,493.865,mV,502.763,mV,PMBUS.READ_VOUT.0p5
1607021,-0.547,%,1.189,%,PMBUS.READ_VOUT.0p5_Accuracy
1607022,396.491,mV,401,mV,PMBUS.READ_VOUT.0xCD
