Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax
1203160,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
1203130,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
1203180,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
1203210,397.6,mV,397.6,mV,,,402.4,mV,402.4,mV,
1203220,397.6,mV,397.6,mV,,,402.4,mV,402.4,mV,
1203230,597.21,mV,597.21,mV,,,602.01,mV,602.01,mV,
1203240,597.21,mV,597.21,mV,,,602.01,mV,602.01,mV,
1203250,695.8,mV,695.8,mV,,,704.2,mV,704.2,mV,
1203260,695.8,mV,695.8,mV,,,704.2,mV,704.2,mV,
1203270,795.2,mV,795.2,mV,,,804.8,mV,804.8,mV,
1203280,795.2,mV,795.2,mV,,,804.8,mV,804.8,mV,
1203212,396.0,mV,396.0,mV,,,404.0,mV,404.0,mV,
1203222,396.0,mV,396.0,mV,,,404.0,mV,404.0,mV,
1203272,795.63,mV,795.63,mV,,,805.0,mV,805.0,mV,
1203282,795.63,mV,795.63,mV,,,805.0,mV,805.0,mV,
1203211,396.0,mV,396.0,mV,,,404.0,mV,404.0,mV,
1203221,396.0,mV,396.0,mV,,,404.0,mV,404.0,mV,
1203271,795.63,mV,795.63,mV,,,805.0,mV,805.0,mV,
1203281,795.63,mV,795.63,mV,,,805.0,mV,805.0,mV,
1612001,396.387,mV,397.9882,mV,X,,404.395,mV,402.7929,mV,X
1612002,398.32,mV,399.9296,mV,X,,406.367,mV,404.7578,mV,X
1612003,400.254,mV,401.871,mV,X,,408.34,mV,406.7226,mV,X
1612004,402.187,mV,403.8125,mV,X,,410.313,mV,408.6875,mV,X
1612005,404.121,mV,405.7539,mV,X,,412.285,mV,410.6523,mV,X
1612006,406.055,mV,407.6953,mV,X,,414.258,mV,412.6171,mV,X
1612007,407.988,mV,409.6367,mV,X,,416.23,mV,414.582,mV,X
1612008,409.922,mV,411.5781,mV,X,,418.203,mV,416.5468,mV,X
1612009,411.855,mV,413.5195,mV,X,,420.176,mV,418.5117,mV,X
1612010,413.789,mV,415.4609,mV,X,,422.148,mV,420.4765,mV,X
1612011,415.723,mV,417.4023,mV,X,,424.121,mV,422.4414,mV,X
1612012,417.656,mV,419.3437,mV,X,,426.094,mV,424.4062,mV,X
1612013,419.59,mV,421.2851,mV,X,,428.066,mV,426.371,mV,X
1612014,421.523,mV,423.2265,mV,X,,430.039,mV,428.3359,mV,X
1612015,423.457,mV,425.1679,mV,X,,432.012,mV,430.3007,mV,X
1612016,425.391,mV,427.1093,mV,X,,433.984,mV,432.2656,mV,X
1612017,427.324,mV,429.0507,mV,X,,435.957,mV,434.2304,mV,X
1612018,429.258,mV,430.9921,mV,X,,437.93,mV,436.1953,mV,X
1612019,431.191,mV,432.9335,mV,X,,439.902,mV,438.1601,mV,X
1612020,433.125,mV,434.875,mV,X,,441.875,mV,440.125,mV,X
1612021,435.059,mV,436.8164,mV,X,,443.848,mV,442.0898,mV,X
1612022,436.992,mV,438.7578,mV,X,,445.82,mV,444.0546,mV,X
1612023,438.926,mV,440.6992,mV,X,,447.793,mV,446.0195,mV,X
1612024,440.859,mV,442.6406,mV,X,,449.766,mV,447.9843,mV,X
1612025,442.793,mV,444.582,mV,X,,451.738,mV,449.9492,mV,X
1612026,444.727,mV,446.5234,mV,X,,453.711,mV,451.914,mV,X
1612027,446.66,mV,448.4648,mV,X,,455.684,mV,453.8789,mV,X
1612028,448.594,mV,450.4062,mV,X,,457.656,mV,455.8437,mV,X
1612029,450.527,mV,452.3476,mV,X,,459.629,mV,457.8085,mV,X
1612030,452.461,mV,454.289,mV,X,,461.602,mV,459.7734,mV,X
